Name,Project,Organization
Ybrahin Martinez,(PyAr) PyZombies,Python Software Foundation
Sanchita Singh,Elastic Compute Cloud-based Amazon Machine Image for XWiki,XWiki
Aryan Shridhar,Enhance Recent topic view with Multiselect Dropdown List Widget And Implement Reusable Widgets,Zulip
Mithil,Liquid Galaxy Stellarium,Liquid Galaxy project
Riccardo Mancini,Multi-threading in perf,The Linux Foundation
Nishchal Singi,A frontend for Niffler DICOM framework for machine learning pipelines and processing workflows,"Department of Biomedical Informatics (BMI), Emory University School of Medicine"
Yemdjih Kaze Nasser,Machine Learning Credit Scorecard PHASE 4,The Apache Software Foundation
Virajkumar Patel,Tensorflow GUI,"Department of Biomedical Informatics (BMI), Emory University School of Medicine"
Zeyad Gouda,Use eBPF to lock/unlock the network,CRIU
Abhay Garg,Introduce Support for Displaying Copyright Licenses,Oppia Foundation
Niklas Muennighoff,TripPy + DeepPavlov,DeepPavlov
